Player,height,weight,college,born,birth_city,birth_state,Geo_code,Latitude,Longitude
Elmore Smith,213,113,Kentucky State University,1949,Macon,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Henry Bibby,185,83,"University of California, Los Angeles",1949,Franklinton,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Freddie Boyd,188,81,Oregon State University,1950,Bakersfield,California,"36.778261, -119.4179324",36.778261,-119.4179324
Steve Bracey,185,79,University of Tulsa,1950,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Corky Calhoun,201,95,University of Pennsylvania,1950,Waukegan,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Scott English,198,92,University of Texas at El Paso,1950,Evanston,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Luther Green,201,86,Long Island University,1946,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Charles Johnson,183,77,University of California,1949,Corpus Christi,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Ollie Johnson,198,90,Temple University,1949,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Manny Leaks,203,102,Niagara University,1945,Cleveland,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
LaRue Martin,211,94,Loyola University of Chicago,1950,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Eric McWilliams,203,90,"California State University, Long Beach",1950,Denver,Colorado,"39.5500507, -105.7820674",39.5500507,-105.7820674
Lloyd Neal,201,102,Tennessee State University,1950,Talbottom,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Paul Westphal,193,88,University of Southern California,1950,Torrance,California,"36.778261, -119.4179324",36.778261,-119.4179324
Jim Brewer,206,95,University of Minnesota,1951,Maywood,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Doug Collins,198,81,Illinois State University,1951,Christopher,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Bernie Fryer,190,83,Brigham Young University,1949,Bellingham,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Nate Hawthorne,193,86,Southern Illinois University,1950,Mt. Vernon,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Louie Nelson,190,86,University of Washington,1951,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Dan Anderson,208,104,Augsburg College,1943,Minneapolis,Minnesota,"46.729553, -94.6858998",46.729553,-94.6858998
Leon Benbow,193,83,Jacksonville University,1950,Columbia,South Carolina,"33.836081, -81.1637245",33.836081,-81.1637245
Ken Boyd,196,88,Boston University,1952,Frederick,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Jim Chones,211,99,Marquette University,1949,Racine,Wisconsin,"43.7844397, -88.7878678",43.7844397,-88.7878678
Rod Derline,183,79,Seattle University,1952,Elma,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Greg Jackson,183,81,Guilford College,1952,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Len Kosmalski,213,111,University of Tennessee,1951,Cleveland,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Campy Russell,196,98,University of Michigan,1944,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Foots Walker,183,83,State University of West Georgia,1951,Southampton,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Brian Winters,193,83,University of South Carolina,1952,Rockaway,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Jerry Baskerville,201,86,Temple University,1951,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Tom Boswell,206,99,University of South Carolina,1953,Montgomery,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Junior Bridgeman,196,95,University of Louisville,1953,East Chicago,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Al Carlson,211,106,University of Oregon,1951,Oceanside,California,"36.778261, -119.4179324",36.778261,-119.4179324
Henry Dickerson,193,86,University of Charleston,1951,Berkley,West Virginia,"38.5976262, -80.4549026",38.5976262,-80.4549026
John Laskowski,198,83,Indiana University,1953,South Bend,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Jim McElroy,190,86,Central Michigan University,1953,Cotton Plant,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Tom McMillen,211,97,University of Maryland,1952,Elmira,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Dave Meyers,203,97,"University of California, Los Angeles",1953,San Diego,California,"36.778261, -119.4179324",36.778261,-119.4179324
Frank Oleynick,188,83,Seattle University,1955,Bridgeport,Connecticut,"41.6032207, -73.087749",41.6032207,-73.087749
Bill Robinzine,201,104,DePaul University,1953,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
John Roche,190,77,University of South Carolina,1949,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Ed Searcy,198,95,St. John's University,1952,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Gene Short,198,90,Jackson State University,1953,Macon,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Ricky Sobers,190,89,"University of Nevada, Las Vegas",1953,Bronx,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Terry Thomas,203,99,University of Detroit Mercy,1953,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Bird Averitt,185,77,Pepperdine University,1952,Hopkinsville,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Mel Bennett,201,90,University of Pittsburgh,1955,Pittsburgh,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Mack Calvin,183,74,University of Southern California,1947,Fort Worth,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Norm Cook,203,95,University of Kansas,1955,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Randy Denton,208,108,Duke University,1949,Raleigh,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Jim Eakins,211,97,Brigham Young University,1946,Sacramento,California,"36.778261, -119.4179324",36.778261,-119.4179324
Alex English*,201,86,University of South Carolina,1954,Columbia,South Carolina,"33.836081, -81.1637245",33.836081,-81.1637245
Mike Flynn,188,81,University of Kentucky,1953,Casablanca,Morocco,"31.791702, -7.092619999999999",31.791702,-7.09262
Terry Furlow,193,86,Michigan State University,1954,Flint,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Gus Gerard,203,90,University of Virginia,1953,Uniontown,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
George Gervin*,201,81,Eastern Michigan University,1952,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Artis Gilmore*,218,108,Jacksonville University,1949,Chipley,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Rudy Hackett,206,95,Syracuse University,1953,Mount Vernon,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Caldwell Jones,211,98,Albany State University,1950,McGehee,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Rich Jones,198,99,University of Memphis,1946,Memphis,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
George Karl,190,83,University of North Carolina,1952,Penn Hills,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Larry Kenon,206,92,University of Memphis,1952,Birmingham,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Billy Knight,198,88,University of Pittsburgh,1952,Braddock,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Mitch Kupchak,206,104,University of North Carolina,1954,Hicksville,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Bo Lamar,185,81,University of Louisiana at Lafayette,1951,Columbus,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Scott Lloyd,208,104,Arizona State University,1952,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
John Lucas,190,79,University of Maryland,1953,Durham,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Maurice Lucas,206,97,Marquette University,1952,Pittsburgh,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Andre McCarter,190,86,"University of California, Los Angeles",1953,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Ted McClain,185,81,Tennessee State University,1946,Nashville,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Allen Murphy,196,86,University of Louisville,1952,Birmingham,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Johnny Neumann,198,90,University of Mississippi,1951,Memphis,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Tom Owens,208,97,University of South Carolina,1949,Bronx,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Joe Pace,208,99,Coppin State University,1953,New Brunswick,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Robert Parish*,213,104,Centenary College of Louisiana,1953,Shreveport,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Sonny Parker,198,90,Texas A&M University,1955,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Billy Paultz,211,106,St. John's University,1948,River Edge,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Lonnie Shelton,203,108,Oregon State University,1955,Bakersfield,California,"36.778261, -119.4179324",36.778261,-119.4179324
James Silas,185,81,Stephen F. Austin State University,1949,Tallulah,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Earl Tatum,196,83,Marquette University,1953,Mount Vernon,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Wally Walker,201,86,University of Virginia,1954,Millersville,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Lloyd Walton,183,72,Marquette University,1953,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Marvin Webster,216,102,Morgan State University,1952,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Chuckie Williams,183,74,Seattle University,1943,Colorado Springs,Colorado,"39.5500507, -105.7820674",39.5500507,-105.7820674
Kent Benson,208,106,Indiana University,1954,New Castle,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Otis Birdsong,190,86,University of Houston,1955,Winter Haven,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Jim Bostic,201,102,New Mexico State University,1953,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Wayman Britt,188,83,University of Michigan,1952,Wilson Mills,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Bob Carrington,198,88,Boston College,1953,Brookline,Massachusetts,"42.4072107, -71.3824374",42.4072107,-71.3824374
Brad Davis,190,81,University of Maryland,1955,Monaca,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Toby Knight,206,95,University of Notre Dame,1955,Bronx,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Rich Laurel,198,86,Hofstra University,1954,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Norm Nixon,188,77,Duquesne University,1955,Macon,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Ben Poquette,206,106,Central Michigan University,1955,Ann Arbor,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Anthony Roberts,196,83,Oral Roberts University,1955,Chattanooga,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Scott Sims,185,77,University of Missouri,1955,Kirksville,Missouri,"37.9642529, -91.8318334",37.9642529,-91.8318334
Kim Anderson,201,90,University of Missouri,1955,Sedalia,Missouri,"37.9642529, -91.8318334",37.9642529,-91.8318334
Marty Byrnes,201,97,Syracuse University,1956,Syracuse,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Michael Cooper,196,77,University of New Mexico,1956,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Ray Epps,198,88,Norfolk State University,1956,Amelia,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Jack Givens,196,92,University of Kentucky,1956,Lexington,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Lars Hansen,208,102,University of Washington,1954,Copenhagen,Denmark,"56.26392, 9.501785",56.26392,9.501785
John Long,196,88,University of Detroit Mercy,1956,Romulus,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Mike Mitchell,201,97,Auburn University,1956,Atlanta,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
John Olive,201,95,Villanova University,1955,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Wayne Radford,190,92,Indiana University,1956,Indianapolis,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Reggie Theus,201,86,"University of Nevada, Las Vegas",1957,Inglewood,California,"36.778261, -119.4179324",36.778261,-119.4179324
Mychal Thompson,208,102,University of Minnesota,1955,Nassau,Bahamas,"25.03428, -77.39627999999999",25.03428,-77.39628
Raymond Townsend,190,79,"University of California, Los Angeles",1955,San Jose,California,"36.778261, -119.4179324",36.778261,-119.4179324
Freeman Williams,193,86,Portland State University,1956,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Bill Cartwright,216,111,University of San Francisco,1957,Lodi,California,"36.778261, -119.4179324",36.778261,-119.4179324
Pat Cummings,206,104,University of Cincinnati,1956,Johnstown,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Terry Duerod,188,81,University of Detroit Mercy,1956,Royal Oak,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Gary Garland,193,81,DePaul University,1957,East Orange,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Brad Holland,190,81,"University of California, Los Angeles",1956,Billings,Montana,"46.8796822, -110.3625658",46.8796822,-110.3625658
Abdul Jeelani,203,95,University of Wisconsin-Parkside,1954,Bells,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Vinnie Johnson,188,90,Baylor University,1956,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Greg Kelser,201,86,Michigan State University,1957,Panama City,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Reggie King,198,102,University of Alabama,1957,Birmingham,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Arvid Kramer,206,99,Augustana College (SD),1956,Fulda,Minnesota,"46.729553, -94.6858998",46.729553,-94.6858998
Sylvester Norris,211,99,Jackson State University,1957,Jackson,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Sam Pellom,206,102,"University at Buffalo, State University of New York",1951,Wilmington,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Cliff Robinson,206,99,University of Southern California,1960,Oakland,California,"36.778261, -119.4179324",36.778261,-119.4179324
Jim Spanarkel,196,86,Duke University,1957,Jersey City,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Duck Williams,188,81,University of Notre Dame,1956,Demopolis,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Sly Williams,201,95,University of Rhode Island,1958,New Haven,Connecticut,"41.6032207, -73.087749",41.6032207,-73.087749
Darrell Allums,206,99,"University of California, Los Angeles",1958,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Norman Black,196,83,Saint Joseph's University,1957,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Butch Carter,196,81,Indiana University,1958,Springfield,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Earl Cureton,206,95,University of Detroit Mercy,1957,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Tony Fuller,193,81,Pepperdine University,1958,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Alan Hardy,201,88,University of Michigan,1957,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Reggie Johnson,206,92,University of Tennessee,1957,Atlanta,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Walter Jordan,201,89,Purdue University,1956,Perry,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Bill Laimbeer,211,111,University of Notre Dame,1957,Boston,Massachusetts,"42.4072107, -71.3824374",42.4072107,-71.3824374
Edmund Lawrence,213,103,McNeese State University,1952,Lake Charles,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Kyle Macy,190,79,University of Kentucky,1957,Fort Wayne,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Keith McCord,201,95,University of Alabama at Birmingham,1957,Birmingham,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Dick Miller,198,97,University of Toledo,1958,Milwaukee,Wisconsin,"43.7844397, -88.7878678",43.7844397,-88.7878678
Johnny Moore,185,79,University of Texas at Austin,1958,Altoona,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Kenny Natt,190,83,University of Louisiana at Monroe,1958,Monroe,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Louis Orr,203,79,Syracuse University,1958,Cincinnati,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Myles Patrick,203,99,Auburn University,1954,Macon,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Wally Rank,198,99,San Jose State University,1958,Fort Ord,California,"36.778261, -119.4179324",36.778261,-119.4179324
James Ray,203,97,Jacksonville University,1957,New Orleans,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
DeWayne Scales,203,94,Louisiana State University,1958,Dallas,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Craig Shelton,201,95,Georgetown University,1957,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Jerry Sichting,185,76,Purdue University,1956,Martinsville,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Jeff Wilkins,211,104,Illinois State University,1955,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Mickey Dillard,190,77,Florida State University,1958,Hollywood,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
John Douglas,188,77,University of Kansas,1956,Town Creek,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Craig Dykema,203,86,"California State University, Long Beach",1959,Lakewood,California,"36.778261, -119.4179324",36.778261,-119.4179324
Petur Gudmundsson,218,117,University of Washington,1958,Reykjavik,Iceland,"64.963051, -19.020835",64.963051,-19.020835
Lewis Lloyd,198,92,Drake University,1959,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Kevin McKenna,196,88,Creighton University,1959,St. Paul,Minnesota,"46.729553, -94.6858998",46.729553,-94.6858998
Danny Schayes,211,106,Syracuse University,1959,Syracuse,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Ray Tolbert,206,102,Indiana University,1958,Anderson,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Kelly Tripucka,198,99,University of Notre Dame,1959,Glen Ridge,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Elston Turner,196,86,University of Mississippi,1959,Knoxville,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Pete Verhoeven,206,97,"California State University, Fresno",1959,Hanford,California,"36.778261, -119.4179324",36.778261,-119.4179324
Buck Williams,203,97,University of Maryland,1960,Rocky Mount,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Garry Witts,201,86,College of the Holy Cross,1959,Elizabeth,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Chubby Cox,188,81,University of San Francisco,1955,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Quintin Dailey,190,81,University of San Francisco,1961,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Sleepy Floyd,190,77,Georgetown University,1960,Gastonia,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
John Greig,201,97,University of Oregon,1961,Sacramento,California,"36.778261, -119.4179324",36.778261,-119.4179324
Scott Hastings,208,106,University of Arkansas,1960,Independence,Kansas,"39.011902, -98.4842465",39.011902,-98.4842465
Rod Higgins,201,90,"California State University, Fresno",1960,Monroe,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Craig Hodges,188,86,"California State University, Long Beach",1960,Park Forest,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Cliff Levingston,203,95,Wichita State University,1961,San Diego,California,"36.778261, -119.4179324",36.778261,-119.4179324
Charles Pittman,203,99,University of Maryland,1958,Rocky Mount,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Oliver Robinson,193,81,University of Alabama at Birmingham,1960,Birmingham,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Vince Taylor,196,81,Duke University,1960,Lexington,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Trent Tucker,196,87,University of Minnesota,1959,Tarboro,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Bryan Warrick,196,88,Saint Joseph's University,1959,Moses Lake,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Dominique Wilkins*,201,90,University of Georgia,1960,Paris,France,"46.227638, 2.213749",46.227638,2.213749
Rob Williams,190,85,West Virginia University,1944,Weirton,West Virginia,"38.5976262, -80.4549026",38.5976262,-80.4549026
Ken Austin,206,92,Rice University,1961,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Thurl Bailey,211,97,North Carolina State University,1961,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Randy Breuer,221,104,University of Minnesota,1960,Lake City,Minnesota,"46.729553, -94.6858998",46.729553,-94.6858998
Wallace Bryant,213,111,University of San Francisco,1959,Madrid,Spain,"40.46366700000001, -3.74922",40.463667,-3.74922
Leroy Combs,203,95,Oklahoma State University,1961,Oklahoma City,Oklahoma,"35.4675602, -97.5164276",35.4675602,-97.5164276
Russell Cross,208,97,Purdue University,1961,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Darren Daye,203,99,"University of California, Los Angeles",1960,Des Moines,Iowa,"41.8780025, -93.097702",41.8780025,-93.097702
Clyde Drexler*,201,95,University of Houston,1962,New Orleans,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Rod Foster,185,72,"University of California, Los Angeles",1960,Birmingham,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Sidney Green,188,83,Duquesne University,1933,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Bob Hansen,198,86,University of Iowa,1961,Des Moines,Iowa,"41.8780025, -93.097702",41.8780025,-93.097702
Roy Hinson,206,95,Rutgers University,1961,Trenton,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Charles Jones,206,97,Albany State University,1957,McGehee,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Greg Kite,211,113,Brigham Young University,1961,Houston,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Jeff Malone,193,92,Mississippi State University,1961,Mobile,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Larry Micheaux,206,99,University of Houston,1960,Houston,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Tom Piotrowski,216,108,La Salle University,1960,West Chester,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Doc Rivers,193,83,Marquette University,1961,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Ralph Sampson*,224,103,University of Virginia,1960,Harrisonburg,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Jim Thomas,190,86,Indiana University,1960,Lakeland,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
